book,ch_num,stratum,source,ai_intensity,ai_retention,ai_hook,ai_emotion,ai_analysis,t2_intensity,t2_retention,t2_hook,t2_emotion,t2_analysis,human_intensity,human_retention,human_hook,human_conflict,human_emotion,human_analysis,disagreement,notes
地球游戏场,1,Opening,anchor,7,8,strong,热血,末日开篇场景震撼，虫潮侵袭城市画面感强，主角被背叛后获得天使辅助武器的转折引人入胜,,,,,,,,,,,,1.24,
地球游戏场,198,Rising,anchor,7,8,strong,热血,毁灭都市六十五区域横扫堕落者展现实力，面对清理队的嚣张索要果断拒绝，一人挑衅十名清理队员悬念拉满,,,,,,,,,,,,3.81,
地球游戏场,384,Mid,anchor,9,9,strong,热血,张风与雷海的源血争夺战设定精妙，通过长枪吸收敌方神血的暗线令人叫绝，毁灭力量腐蚀血魄甲的克制关系紧张刺激,,,,,,,,,,,,5.14,
地球游戏场,581,Climax,anchor,10,10,strong,热血,星路激战张风释放全部能力杀得日月无光，毁灭之枪击碎星辰的场面震撼到极致，神战五阶力量爆发突破极限令人窒息,,,,,,,,,,,,7.7,
地球游戏场,769,Ending,anchor,9,9,strong,悲壮,半神被杀血茧飞向张风的场面震撼全场，青龙与血龙对峙揭示龙族文明的往事令人动容，张风开启石门升入星空的结局悬念拉满,,,,,,,,,,,,5.23,
地球游戏场,749,Ending,disagreement,10,10,strong,热血,复活万头巨龙围杀守护兽的场面震撼到极致，黑虎被两万巨龙和神盾困死的战斗极其惨烈，吸干守护兽血液的结局爽感拉满,,,,,,,,,,,,8.16,
地球游戏场,561,Climax,disagreement,10,9,strong,悲壮,张风以神盾摧毁日本四城为同胞复仇的场面极其震撼悲壮，杀人时想过今天的质问振聋发聩，十名神战传送介入的悬念拉满,,,,,,,,,,,,6.84,
地球游戏场,443,Mid,disagreement,9,9,strong,热血,中日强者在移动都市的激战令人热血沸腾，樱川流风化身魔鬼的压迫感极强，张风龙化对抗展现实力，天使抢宝箱的配合精妙,,,,,,,,,,,,6.79,
地球游戏场,296,Mid,disagreement,9,9,strong,热血,万兽桥镇守者拥有相同技能的设定令人惊讶，巅峰对决每招每式都势均力敌，毁灭之枪击败镇守者获得认可爽感拉满,,,,,,,,,,,,6.15,
地球游戏场,670,Climax,disagreement,8,9,strong,热血,张风用水晶中半神力量锤炼身体的疯狂举动震撼全场，二十天千次死亡的修炼过程令人窒息，水晶碎裂后尸体散发恐怖气息悬念拉满,,,,,,,,,,,,5.92,
地球游戏场,8,Opening,disagreement,8,8,medium,爽快,天使自动填充弩箭的发现令人惊喜，稀有甲壳虫战斗紧张刺激，天使升级与极品骨刀双丰收爽感十足,,,,,,,,,,,,5.88,
地球游戏场,72,Rising,disagreement,8,8,strong,热血,迷雾区大战精彩，虫魔枪穿透力震撼，龙月魔力水晶与蓝兰极速杀敌各展所长，四只进化人与神秘生化兵器登场悬念十足,,,,,,,,,,,,5.7,
地球游戏场,680,Climax,disagreement,8,9,strong,热血,黑夜降临夜魔战力倍增的设定制造危机感，七名高手道具突破压制盟约的场面紧张，辉煌之石硬抗七阶一击不死的反转令人振奋，张风一掌震爆吸血鬼头领震撼全场,,,,,,,,,,,,5.64,
地球游戏场,571,Climax,supplement,10,10,strong,热血,数十名神战星路围杀的终极大战震撼到极致，张风无敌姿态碾压全场的场面热血沸腾，天刀绝杀被击碎的瞬间令人窒息,,,,,,,,,,,,0.8,
地球游戏场,710,Ending,supplement,10,10,strong,热血,张风以七阶巅峰硬抗六柄半神兵只受轻伤的防御力震撼到极致，反手击杀持半神兵者的场面极其爽快，隐藏强者被迫现身的反转令人期待,,,,,,,,,,,,0.8,
末世大回炉,1,Opening,anchor,7,8,strong,紧张,重生开局节奏明快，主角利用前世记忆迅速布局，末世倒计时紧迫感拉满追读欲望,,,,,,,,,,,,2.8,
末世大回炉,483,Rising,anchor,7,8,medium,热血,陈少爷率十三人小组波浪式清剿丧尸群，老兵带新兵的实战教学体系展现狼牙战团成长,,,,,,,,,,,,4.73,
末世大回炉,966,Mid,anchor,7,8,medium,悬疑,尚汉卿偷天换日来安罗的背后布局精彩，何峰与高少辉的信息博弈暗线推进，主角战略深度刷新认知,,,,,,,,,,,,3.72,
末世大回炉,1448,Climax,anchor,7,8,strong,温馨,叶子博睁眼说瞎话的政治表演令人作呕又搞笑，狼牙死忠粉不知主角就在眼前还试图招勋试图营救的乌龙剧情充满温情,,,,,,,,,,,,1.79,
末世大回炉,1928,Ending,anchor,8,8,strong,悬疑,楚涵带国王追查线索，发现地下组织踪迹，一斧劈开地面揭露入口，悬疑推理与暴力破局的结合,,,,,,,,,,,,4.14,
末世大回炉,975,Mid,disagreement,10,10,strong,爽快,好消息坏消息轮番轰炸的心理酷刑堪称恶魔级操作，灭金阳两万五千人的惊天战绩令人窒息,,,,,,,,,,,,6.41,
末世大回炉,1606,Climax,disagreement,8,9,strong,热血,主角以粮草为筹码逼降十万联盟军的政治操作堪称神级，遣散或加入的选择题将敌人转化为兵力，枭雄手腕拉满,,,,,,,,,,,,6.38,
