rank,book_name,author,word_count,tier,borda_rank,change_source,key_metric,reason
1,地球游戏场,吉风冰,252万字,S,#1,原S级维持,signing#1 diversity#3,borda#1多维顶级
2,末世大回炉,二十二刀流,402万字,S,#3,原S级维持,pleasure_all=5.53最高,十大末世天花板常客
3,异兽迷城,—,—,S,#4,原S级维持,bt#6各维度均衡,番茄9.9分在读118万+
4,黑暗血时代,—,365万字,S,—,A→S(三方全票),商业72 hook3=2.46第4,起点排行榜#1 12年经典
5,第一序列,会说话的肘子,289万字,S,—,新增S,十万均订,中国图书馆典藏废土流标杆
6,长夜余火,爱潜水的乌贼,281万字,A,—,v8.11 S→A(2/3三方AI),白金大神,"signing#24, bt#16, webnovel#16; 作者知名度加成(白金大神乌贼)"
7,末日乐园,须尾俱全,800万字,A,—,v8.11 S→A(2/3三方AI),2428章完结,"diversity#33倒数第1, webnovel#27; 题材标杆(女频末世天花板, 豆瓣8.4)"
8,我的末世领地,—,—,A,#7,原A级维持,pleasure3=5.40最高,内部指标支撑
9,从红月开始,黑山老鬼,—,A,#8,原A级维持,bt#2 webnovel8#2,黑山老鬼代表作
10,世界末日从考试不及格开始,小猫要成仙,—,A,#9,原A级维持,bt#1 webnovel8#1,外部排名最强
11,末世魔神游戏,石闻,—,A,—,v8.7 S→A,hook3=1.10偏低,zero_hook_10=2
12,末世召唤狂潮,黑心的大白,—,A,#11,原A级维持,conflict3=0.88,十大废土流推荐常客
13,末日拼图游戏,更从心,—,A,#12,原A级维持,hook3=2.21,头条推荐
14,废土崛起,通吃道人,460万字,A,#13,原A级维持,bt#5 pleasure3=2.87,通吃道人作品
15,全球变异,—,—,A,#14,原A级维持,hook3=2.49第3,本地文件11.18MB完整; ⚠️外部口碑未验证(borda#1但无BT/WebNovel独立验证)
16,末世之深渊召唤师,凉心未暖,—,A,#2,S→A(三方全票),外部零验证,"signing循环论证; ⚠️signing循环论证(signing#1→borda#2, 外部零验证)"
17,神秘尽头,黑山老鬼,124万字,A,#6,S→A(三方全票),仅292章,短篇效应高估hook3
18,狩魔手记,烟雨江南,—,A,#15,B+→A,豆瓣8.1,文学性强多平台一致
19,全球进化,咬狗,100万字,B+,—,v8.7 A→B+,hook3=0.99 zero_hook_10=2,万订但B站7.5分
20,我在末世有套房,晨星LL,—,B+,#17,原B+维持,全网双穿开山,后期口碑折扣
21,黑暗文明,古羲,—,B+,#18,原B+维持,diversity#1,节奏指标一般
22,恐慌沸腾,—,—,B+,#19,原B+维持,bt#7,唯一亮点
23,我的女友是丧尸,黑暗荔枝,—,B,#20,原B维持,—,头条推荐
24,灾厄纪元,妖的境界,—,B,#21,原B维持,—,无外部口碑
25,黑暗王者,古羲,—,B,#22,原B维持,—,无外部口碑
26,重卡战车在末世,白雨涵,212万字,B,#23,原B维持,—,十本废土流推荐
27,末日蟑螂,伟岸蟑螂,500万字,B,#24,维持B(过滤鼻祖),hook3=0.31极弱,鼻祖≠文字好
28,第九特区,—,607万字,B,#25,B-→B,番茄9.7分,仅升一级不过激
29,末世超级商人,—,—,B-,#26,原B-维持,各项偏低,—
30,我在末世种个田,—,—,B-,#28,原B-维持,—,田园种田风口碑一般
31,限制级末日症候,—,—,B-,#29,原B-维持,—,无外部口碑
32,末世之三宫六院,—,—,C,—,用户确认,—,垃圾书无节奏数据
33,末世精灵皇,—,—,C,—,用户确认,—,垃圾书无节奏数据
34,蹉跎,随风飘摇,—,C,—,维持C(过滤鼻祖),商业46=D级,2002年作品对AI无学习价值
35,黑暗末日,我妻虚彩,—,C,—,v8.7 B→C,商业43=D borda#30,有节奏数据
