novel_name,author,current_tier,suggested_tier,reputation_score,qidian_rank,zhihu_mentions,douban_rating,bilibili_rating,key_quotes,adjustment_needed,reason
地球游戏场,吉风冰,S,S,5,未上榜,低,无,9.7神作,"Bilibili 9.7分神作，游戏化末世设定",否,
异兽迷城,彭湃,S,S,5,未上榜,高(150回答),高分,无,"年度封神之作，番茄高人气神作，但结尾争议",否,
末世之深渊召唤师,未知,S,A,4,未上榜,低,无,无,"知乎推荐，设定独特但讨论度不足",是,讨论度/知名度不如其他S级
末世大回炉,二十二刀流,S,S,4,未上榜,中,无,有声书热门,"酣畅淋漓的末日冒险爽文",否,
神秘尽头,黑山老鬼,S,A,4,未上榜,中,无,无,"起点大神新作，延续红月风格，独立评价不足",是,新作数据不足S级
世界末日从考试不及格开始,未知,A,B_plus,3,未上榜,低,无,无,"搜索结果较少，知名度一般",是,知名度不及A级标准
从红月开始,黑山老鬼,A,A,5,未上榜,高,高分,无,"Goodreads 4.29分，豆瓣出乎意料的好看，PTT驚為天人",否,S级候选但维持A
废土崛起,通吃道人,A,A,4,未上榜,中,无,无,"末世文圈有知名度",否,
末世召唤狂潮,黑心的大白,A,A,4,前十,中,无,无,"知乎不错的末日文，起点排行榜前十",否,
末世魔神游戏,石闻,A,A,3,未上榜,低,无,无,"知乎专栏提及",否,
末日拼图游戏,未知,A,B_plus,3,未上榜,低,无,无,"搜索结果有限",是,知名度不及A级标准
黑暗血时代,天下飘火,A,S,5,第1名,高(惊为天人),高分,12年前神作,"当之无愧的末日神作，起点排行榜第1，12年经典",是,网络口碑顶级，应升S
全球变异从灾厄降临开始,未知,A,B_plus,3,未上榜,低,无,无,"搜索结果有限",是,知名度不及A级标准
全球进化,未知,B_plus,B_plus,4,前十,中(十大),无,无,"起点排行榜前十，知乎十大末世小说",否,可升A
恐慌沸腾,未知,B_plus,B_plus,3,未上榜,低,无,无,"搜索结果有限",否,
我在末世有套房,晨星LL,B_plus,A,5,热搜第1,高,无,无,"全网双穿开山神作，起点热搜榜第一",是,开山神作应升A
狩魔手记,烟雨江南,B_plus,A,5,前十,高(十大),无,无,"起点前十+知乎十大+网易巅峰",是,多平台一致高评价应升A
黑暗文明,古羲,B_plus,B_plus,3,未上榜,低,无,无,"百度不错的末日文",否,
我的女友是丧尸,未知,B,B,4,前十,低,无,无,"起点排行榜前十",否,可升B+
末日蟑螂,伟岸蟑螂,B,A,5,未上榜,高(十大),无,无,"末世题材小说的鼻祖作品，网易末世流巅峰",是,鼻祖级作品应升A
灾厄纪元,未知,B,B,3,未上榜,低,无,无,"搜索结果有限",否,
重卡战车在末世,白雨涵,B,B,3,未上榜,低,无,有声书,"百度百科收录，212万字",否,
黑暗王者,未知,B,B,3,未上榜,低,无,无,"搜索结果有限",否,
第九特区,伪戒,B_minus,B,4,未上榜,中,无,无,"网易末世流小说的巅峰",是,巅峰级作品应升B
我在末世种个田,未知,B_minus,B_minus,3,未上榜,低,无,无,"搜索结果有限",否,
末世超级商人,未知,B_minus,B_minus,3,未上榜,低,无,无,"搜索结果有限",否,
限制级末日症候,未知,B_minus,B_minus,3,未上榜,低,无,无,"搜索结果有限",否,
蹉跎,随风飘摇,C,C,2,未上榜,极低,无,无,"搜索结果极少，知名度很低",否,
黑暗末日,未知,C,C,2,未上榜,极低,无,无,"搜索结果极少，知名度很低",否,
我的末世领地,未知,未分级,B_minus,2,未上榜,极低,无,无,"搜索结果有限",是,建议B-级
