book,ch_num,wc,rule_intensity,llm_intensity,llm_retention,glm_intensity,glm_retention,human_intensity,human_retention,pacing,immersion,emotion,tags,pros,cons,gap_reasons,confidence,time_spent,is_retest,timestamp
废土崛起,1,2963,1.9,4.7,5.7,3.5,6,3,3,1.5,3.5,2.5,金手指;获得;悬念,关于电影内容的一些描写画面感强,"1. 脑洞过老不感兴趣
2,文笔太白",rule_miss;llm_bias_high;cliche;poor_exec,medium,2030,false,2026-07-11T02:00:55.980Z
废土崛起,193,2158,1.5,5,6,4,5.5,4,6,3.5,5,3.5,守护;身份;情感;悬念,情绪调动勉强可以，平稳过度,,rule_miss;scale_mismatch,medium,304,false,
废土崛起,385,2168,1.3,5,6,4.5,6,5,5,5,5,5,装逼;获得;震惊;悬念,,,rule_miss,medium,578,false,2026-07-11T02:02:09.968Z
废土崛起,577,2475,2.1,6.5,7.5,5.5,6.5,6,7,5.5,6.5,5.5,装逼;获得;震惊;搞笑,末世装逼自己物资多，体现不错,,rule_miss,medium,78,false,
废土崛起,769,2315,1.3,8,8,7,7,7.5,7.5,7,7.5,8.5,碾压;获得;威望;守护;身份;智斗,场面描写，语言表达很好,,rule_miss;scale_mismatch,high,235,false,2026-07-11T02:02:20.424Z
废土崛起,961,2154,2.3,7.5,8.5,4,6.5,3.5,6.5,5,7,7,绝境;金手指,局势困难但有金手指加持，有悬念让人期待,无用的描写太多,rule_miss;llm_bias_high;slow_pace,medium,417,false,2026-07-11T03:31:27.496Z
废土崛起,1153,2543,1.5,7.5,8,6,5.5,8,8.5,8.5,9,9.5,装逼;身份;震惊;搞笑,搞笑，装逼描写很好,,rule_miss,medium,275,false,2026-07-11T03:34:07.062Z
废土崛起,1345,2445,1.6,7.5,8.5,5,6,3,5.5,5.5,4.5,5.5,绝境;悬念,,,rule_miss;llm_bias_high;cliche;slow_pace;poor_exec,medium,272,false,2026-07-11T03:28:11.522Z
废土崛起,1537,2347,0.8,8,8.5,7.5,7.5,7,7.5,7.5,8,7.5,碾压;获得;身份;情感,,,rule_miss,medium,391,true,2026-07-11T03:34:44.341Z
废土崛起,1729,2653,1.6,8,8,6.5,6,8.5,9.5,8.5,9,9.5,身份;设局;搞笑;情感,,,rule_miss,medium,198,false,
末日蟑螂,1,3207,1.3,4.3,6,2.5,5.5,1.5,2.5,1.5,1.5,1.5,无爽点,,毫无惊喜的开场,exposition;flat_write,medium,364,true,
末日蟑螂,241,2371,2.6,7.5,8,4.5,5.5,7,7.5,7.5,8.5,7.5,打脸;碾压;身份;震惊,,,rule_miss,medium,216,false,
末日蟑螂,481,2174,5.8,6.5,7.5,2.5,4.5,2,3.5,3,2.5,1,伏笔,,,rule_false;llm_bias_high;exposition,medium,198,false,
末日蟑螂,721,2190,1,6.5,7.5,6.5,7,2.5,3,3.5,1.5,2,战斗,,,rule_false;llm_bias_high;poor_exec;flat_write,medium,147,true,
末日蟑螂,961,2316,3.8,6,7,4,5.5,1.5,2.5,1.5,1,1.5,无爽点,,,rule_false;llm_bias_high;exposition,medium,142,false,
末日蟑螂,1201,2826,7.8,4,5,5,6,5,6.5,5,5,5,伏笔,,,rule_false;context_dependent,medium,220,false,2026-07-11T01:14:52.421Z
末日蟑螂,1441,2660,2.8,7.5,8.5,6.5,7.5,7.5,7.5,7.5,7,7.5,战斗,,,rule_miss,medium,418,false,2026-07-11T01:48:13.340Z
末日蟑螂,1681,2980,1.6,5,5.7,7,6.5,7,6.5,5,5,5,收割;战斗,,,rule_miss,medium,332,false,2026-07-11T01:48:41.557Z
末日蟑螂,1921,2714,8.5,5,5.5,6,6.5,5,5.5,5,5,5,身份;战斗,,分段描写字数过多,rule_false,medium,417,false,2026-07-11T01:48:53.901Z
末日蟑螂,2160,2785,5.1,8,8.5,6.5,7,5.5,6.5,5,5,5,战斗;悬念,,,rule_miss;llm_bias_high,medium,153,false,2026-07-11T01:51:25.796Z
末世大回炉,1,3019,3,5,6,5.5,7,6,7,7.5,7,6,金手指;情感;悬念,"1. 分段字数适合阅读
2. 典型末世重生开局",,rule_miss,medium,245,false,2026-07-11T01:55:38.227Z
末世大回炉,194,2099,4.1,6,7,5,5.5,6,7,5,5,5,获得;威望;震惊;搞笑;情感;暧昧,,,rule_miss;glm_bias_low,medium,155,false,2026-07-11T02:02:37.168Z
末世大回炉,387,2132,2.6,4.5,6.5,4.5,7,2.5,7,6,6,6.5,伏笔;悬念,,,rule_miss;llm_bias_high;glm_bias_high,medium,75,false,2026-07-11T03:32:06.384Z
末世大回炉,580,2097,2,6.5,8,5.5,6,3.5,6.5,5,5,5,智斗;搞笑;情感;暧昧,,,rule_miss;llm_bias_high;glm_bias_high,medium,2122,false,2026-07-11T02:58:33.396Z
末世大回炉,773,2250,2.1,8,9,7,7.5,5.5,7.5,5,5,5,打脸;震惊,,,rule_miss;llm_bias_high;glm_bias_high,medium,112,false,2026-07-11T03:00:46.466Z
末世大回炉,966,2267,2.1,6.5,7.5,6,6.5,2,2.5,3,1.5,1,无爽点,,,llm_bias_high;glm_bias_high;context_dependent,medium,124,false,2026-07-11T03:02:49.159Z
